price,beds,baths,average_rent,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,price_y,year,month,quarter,price_category_te,type_te,furnishing_te,completion_status_te,building_name_te,area_name_te,city_te
3000000,2,2,156023,0,0,0,0,0,152.6845231991854,2024,3,1,163.37190824681323,149.31040957054654,132.14265682250962,127.47867440349752,132.63282854487807,163.8950062329231,133.67336753417774
2000000,3,4,0,0,0,0,0,0,137.88924916435374,2024,4,2,138.15815726569912,145.17171701424283,132.06339393006098,134.9521308553659,132.52140208978395,147.85166663316616,131.41932212972452
1100000,1,2,0,0,0,0,0,0,118.58300551085074,2024,3,1,109.08658606313494,122.43021015341043,127.36966080736877,135.03015084130215,132.63282854487807,120.56036465849816,133.67336753417774
1025000,2,3,67336,0,0,0,0,0,116.48329342151352,2024,3,1,109.08658606313494,122.43021015341043,132.14265682250962,127.47867440349752,132.63282854487807,119.08098204091064,131.55314579600633
1550000,2,3,94394,0,0,0,0,0,129.31173135726164,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,124.55471097811852,133.32706977238914
3180000,3,3,197338,0,0,0,0,0,154.9338416522337,2024,3,1,163.42022386241754,145.1564642236749,132.44936528280306,127.47067184865425,132.87013357142845,165.0780831787108,134.01337803947592
4500000,5,5,0,0,0,0,0,0,169.0215714497603,2024,3,1,163.41810795276115,148.7566013286269,132.02870312123673,127.38117836021159,132.65475570083052,161.55497711430004,133.60313587791276
844031,1,2,0,0,0,0,0,0,110.89085678825572,2024,4,2,109.24207207046047,122.37778707057632,132.06339393006098,134.9521308553659,132.52140208978395,119.01984194958503,131.41932212972452
5600000,5,7,0,0,0,0,0,0,178.52885392154477,2023,10,4,163.41810795276115,148.7566013286269,132.02870312123673,127.38117836021159,132.65475570083052,151.08793570406243,131.64299689042448
2213000,2,3,0,0,0,0,0,0,141.4458791783261,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,134.1283299500584,133.6791444548438
910000,2,3,0,0,0,0,0,0,113.0258960051283,2024,4,2,109.24806721408295,122.6693146374798,132.44936528280306,135.49426409689977,132.87013357142845,117.45631635222982,132.00102069039042
984845,2,3,0,0,0,0,0,0,115.31099642613475,2024,4,2,109.21627017889637,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,105.99887337226015,133.6791444548438
2100000,5,7,106020,0,0,0,0,0,139.59294261767778,2024,4,2,138.1580288702424,149.31040957054654,132.14265682250962,127.47867440349752,132.63282854487807,118.36334850041305,112.5098207925535
2700000,4,6,0,0,0,0,0,0,148.69782329348976,2024,4,2,138.0545921712828,145.2005209924965,132.01512830839363,135.14854404099322,132.5119970957668,149.06853740934136,131.9244965704809
3800000,4,5,216264,0,0,0,0,0,162.01177483736558,2024,2,1,163.41810795276115,145.3676765508336,132.02870312123673,127.38117836021159,132.65475570083052,137.92313268132145,133.60313587791276
190000,1,2,22594,0,0,0,0,0,75.76459979710506,2024,3,1,109.21627017889637,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,82.59030437127828,112.24858465145986
3250000,3,3,0,0,0,0,0,0,155.78262026081873,2024,2,1,163.42022386241754,122.6693146374798,132.44936528280306,135.49426409689977,132.87013357142845,144.7525038196637,134.01337803947592
600000,1,2,60273,2014,0,20,212,0,101.68718709356801,2024,2,1,109.24806721408295,122.6693146374798,132.44936528280306,127.47067184865425,93.1350760049425,110.69324426754186,134.01337803947592
1750000,3,4,0,0,0,0,0,0,133.3290880092117,2024,4,2,138.15815726569912,122.37778707057632,132.06339393006098,134.9521308553659,132.52140208978395,119.92495803362893,131.41932212972452
1200000,2,4,80885,0,0,0,0,0,121.22051503655142,2023,11,4,109.08658606313494,145.09728886157782,132.14265682250962,127.47867440349752,132.63282854487807,110.59665280452086,133.5323446969761
600000,3,4,46894,0,0,0,0,0,101.68718709356801,2024,4,2,109.21627017889637,122.3290415905496,132.01512830839363,127.24426147864546,132.5119970957668,113.1050559567508,131.9244965704809
510000,1,1,0,0,0,0,0,0,97.56679910493911,2023,11,4,109.19547218888867,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,137.92313268132145,133.60313587791276
415000,0,1,0,0,0,0,0,0,92.57075359652896,2024,1,1,109.21627017889637,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,117.52241354070681,131.9244965704809
1980000,2,3,120013,0,0,0,0,0,137.54082074977055,2023,11,4,138.2818313564658,122.49062797914426,127.77768367759731,127.38117836021159,132.65475570083052,124.61945164888246,133.7373114692438
1050000,1,2,79568,2010,0,4,71,0,117.19572882889582,2023,12,4,109.21627017889637,122.3290415905496,132.01512830839363,127.24426147864546,115.75760619505428,128.64638294525696,133.6791444548438
3000000,4,4,0,0,0,0,0,0,152.6845231991854,2024,2,1,163.41810795276115,145.3676765508336,132.02870312123673,135.08362094295796,132.65475570083052,137.92313268132145,133.60313587791276
5950000,2,4,0,0,0,0,0,0,181.25568684210194,2024,4,2,163.53996448237965,122.37778707057632,132.06339393006098,134.9521308553659,132.52140208978395,141.51298131815489,133.62286642297357
565000,1,2,0,0,0,0,0,0,100.14424599018096,2024,1,1,109.08658606313494,123.63086586656064,132.14265682250962,127.47867440349752,132.63282854487807,120.500001328357,112.5098207925535
2155000,2,2,0,0,0,0,0,0,140.50398232013112,2024,2,1,138.15815726569912,122.37778707057632,127.13064872826803,134.9521308553659,132.52140208978395,132.13636440809887,133.4713455545535
830000,1,2,0,0,0,0,0,0,110.4205917428056,2024,4,2,109.24806721408295,122.6693146374798,132.44936528280306,135.49426409689977,132.87013357142845,125.13335349396567,132.00102069039042
1999999,3,4,0,0,0,0,0,0,137.88923180887812,2024,4,2,138.1580288702424,145.09728886157782,132.14265682250962,135.03015084130215,132.63282854487807,148.10773998262772,131.55314579600633
950000,0,1,0,0,0,0,0,0,114.2640853958152,2024,4,2,109.19547218888867,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,141.1800644028148,133.7373114692438
1300000,2,2,78721,0,0,0,0,0,123.696836779813,2024,1,1,109.08658606313494,145.09728886157782,132.14265682250962,127.47867440349752,132.63282854487807,133.3582147173681,133.67336753417774
2300000,4,3,0,0,0,0,0,0,142.82435143465744,2024,4,2,138.22067501009343,145.1564642236749,132.44936528280306,135.49426409689977,132.87013357142845,147.67873694787767,134.01337803947592
2699114,1,2,0,0,0,0,0,0,148.68556432061123,2024,4,2,138.1580288702424,122.43021015341043,127.36966080736877,135.03015084130215,132.63282854487807,134.03452410797271,133.67336753417774
1100000,3,5,75892,0,0,0,0,0,118.58300551085074,2024,4,2,109.24806721408295,149.26251221180993,132.44936528280306,127.47067184865425,132.87013357142845,119.6386801487375,112.518973094454
1599999,1,2,0,0,0,0,0,0,130.35118932192503,2024,4,2,138.22067501009343,122.6693146374798,132.44936528280306,135.49426409689977,132.87013357142845,141.96637913808883,133.62254616576647
729999,1,2,72931,2014,0,7,144,0,106.88228598849179,2024,4,2,109.19547218888867,122.49062797914426,127.77768367759731,127.38117836021159,101.38103613454238,115.55611598012106,133.60313587791276
910000,1,2,0,0,0,0,0,0,113.0258960051283,2024,4,2,109.24207207046047,122.37778707057632,127.13064872826803,134.9521308553659,132.52140208978395,115.35220475856217,133.4713455545535
2000000,4,5,93760,0,0,0,0,0,137.88924916435374,2024,2,1,138.1580288702424,149.31040957054654,132.14265682250962,127.47867440349752,132.63282854487807,125.0109608743518,133.5323446969761
3000000,5,6,0,0,0,0,0,0,152.6845231991854,2024,3,1,163.53996448237965,145.17171701424283,132.06339393006098,134.9521308553659,132.52140208978395,146.47394096046204,133.4713455545535
185000,1,2,19483,0,0,0,0,0,75.24565676113902,2024,4,2,109.19547218888867,122.49062797914426,132.02870312123673,127.38117836021159,132.65475570083052,84.43052448657089,112.51738853074667
650000,0,1,62457,2016,0,4,82,0,103.77750064097148,2024,3,1,109.08658606313494,122.43021015341043,132.14265682250962,127.47867440349752,114.6752502028897,120.56036465849816,133.67336753417774
380000,1,2,34129,0,0,0,0,0,90.51091088875955,2024,4,2,109.24806721408295,122.6693146374798,127.51407545248527,127.47067184865425,132.87013357142845,100.92371702755362,134.01337803947592
1480000,1,2,0,0,0,0,0,0,127.8130314516224,2024,4,2,138.2818313564658,122.49062797914426,132.02870312123673,135.08362094295796,132.65475570083052,141.1800644028148,133.7373114692438
880000,1,1,60145,0,0,0,0,0,112.06998422968684,2024,3,1,109.19547218888867,122.49062797914426,132.02870312123673,127.38117836021159,132.65475570083052,141.1800644028148,133.7373114692438
2200000,3,3,0,0,0,0,0,0,141.236400626629,2024,3,1,138.22067501009343,149.26251221180993,132.44936528280306,135.49426409689977,132.87013357142845,150.9016445545744,134.01337803947592
2100000,2,3,0,0,0,0,0,0,139.59294261767778,2024,4,2,138.0545921712828,122.3290415905496,132.01512830839363,135.14854404099322,132.5119970957668,136.26861422472945,133.6791444548438
1450000,5,7,83216,0,0,0,0,0,127.1542999477728,2024,4,2,138.22067501009343,149.26251221180993,132.44936528280306,127.47067184865425,132.87013357142845,113.70324349469848,112.518973094454
3350000,2,3,0,0,0,0,0,0,156.97151869419622,2024,2,1,163.41810795276115,122.49062797914426,127.77768367759731,135.08362094295796,132.65475570083052,132.75558332821217,133.15172892578266
1050000,2,2,83632,0,0,0,0,0,117.19572882889582,2024,2,1,109.24806721408295,122.6693146374798,132.44936528280306,127.47067184865425,132.87013357142845,134.22098863869562,134.01337803947592
4999000,5,6,0,0,0,0,0,0,173.52989340010527,2024,4,2,163.41810795276115,148.7566013286269,132.02870312123673,135.08362094295796,132.65475570083052,151.08793570406243,131.64299689042448
540000,5,7,0,0,0,0,0,0,98.99732558435788,2024,4,2,109.19547218888867,124.51315138183743,132.02870312123673,127.38117836021159,132.65475570083052,128.39786499869305,112.51738853074667
